"intros I":"Intros II"
"In Library class, we have been reinforcing essential knowledge and skills from English and Thematic studies while also exploring the FDIS’s interdisciplinary curriculum.":"* seems to be enjoying engaging with the course content and working cooperatively with his peers."
"Students have been exploring interdisciplinary aspects of the FDIS curriculum while also practicing core knowledge and skills.":"I have enjoyed seeing * become engaged with my lessons and gradually become better at collaborating with his peers."
"We have been having a blast using our brains to piece together interdisciplinary concepts from English and Thematic Studies in a series of granular, serialized lessons.":"* has adapted well to the weekly routines of Library class and is growing intellectually as well as socially."
